date,N-tourists,Sentiment,ILI%,Baidu,N-influenza,RH,N-tourist
2018/10/1,5.863211,-1.188459739,0.45331834,4.770601668,1.477121255,1.792391689,5.863211
2018/10/8,5.647226439,-1.225568537,0.369215857,4.739493231,1.556302501,1.897627091,5.647226439
2018/10/15,5.666787459,-1.272153754,0.383815366,4.757115013,1.591064607,1.938805539,5.666787459
2018/10/22,5.679981768,-1.31674773,0.394451681,4.751710104,1.86332286,1.885684236,5.679981768
2018/10/29,5.693173618,-1.342710992,0.404833717,4.741742342,1.903089987,1.787359252,5.693173618
2018/11/5,5.701085936,-1.332552035,0.408239965,4.754302457,2.120573931,1.900757155,5.701085936
2018/11/12,5.731807872,-1.29381889,0.424881637,4.785507788,2.267171728,1.928688405,5.731807872
2018/11/19,5.762505261,-1.250955962,0.456366033,4.807189891,2.404833717,1.896841038,5.762505261
2018/11/26,5.728413037,-1.222278559,0.494154594,4.787722531,2.618048097,1.927223667,5.728413037
2018/12/3,5.722647905,-1.222093254,0.5132176,4.845222106,2.704150517,1.930876291,5.722647905
2018/12/10,5.740350055,-1.256904981,0.539076099,4.821480775,2.85308953,1.885684236,5.740350055
2018/12/17,5.742941047,-1.31945178,0.568201724,4.809539514,3.114610984,1.891298462,5.742941047
2018/12/24,5.716912739,-1.400026979,0.612783857,4.871386102,3.356408327,1.904638276,5.716912739
2018/12/31,5.740412433,-1.479982729,0.698970004,4.835005304,3.311329952,1.913813852,5.740412433
2019/1/7,5.736649833,-1.527828194,0.733999287,4.803655098,3.536684673,1.93014822,5.736649833
2019/1/14,5.749230632,-1.531019549,0.755874856,4.810380395,3.600537294,1.900757155,5.749230632
2019/1/21,5.774533753,-1.498022649,0.722633923,4.793392215,3.603577368,1.828843959,5.774533753
2019/1/28,5.826098137,-1.444477819,0.69019608,4.835417863,3.690284703,1.886490725,5.826098137
2019/2/4,5.951225287,-1.384384052,0.816903839,4.926522508,2.92992956,1.954242509,5.951225287
2019/2/11,5.831243786,-1.321739652,0.575187845,4.902416308,3.394451681,1.935938899,5.831243786
2019/2/18,5.647579532,-1.253698374,0.544068044,4.884381823,3.401745082,1.963787827,5.647579532
2019/2/25,5.685378929,-1.179281565,0.546542663,4.845866681,3.395151592,1.95630567,5.685378929
2019/3/4,5.680037117,-1.099395418,0.539076099,4.872634025,3.396373728,1.976415488,5.680037117
2019/3/11,5.743697866,-1.02257801,0.5774918,4.822795522,3.421932813,1.910776816,5.743697866
2019/3/18,5.755041277,-0.960208744,0.579783597,4.82230541,3.407220893,1.967815317,5.755041277
2019/3/25,5.736920527,-0.918429434,0.584331224,4.776330641,3.415140352,1.955619038,5.736920527
2019/4/1,5.73285435,-0.902152999,0.610660163,4.767178137,3.213783299,1.926489441,5.73285435
2019/4/8,5.717092723,-0.914959243,0.588831726,4.802575341,3.205475037,1.960402818,5.717092723
2019/4/15,5.746939188,-0.949790719,0.597695186,4.847264102,3.130976692,1.967146657,5.746939188
2019/4/22,5.746935299,-0.99681,0.584331224,4.779083981,3.14332713,1.945890435,5.746935299
2019/4/29,5.859611979,-1.04256785,0.586587305,4.820116038,2.829946696,1.94094317,5.859611979
2019/5/6,5.699337262,-1.069159098,0.536558443,4.696260257,2.996949248,1.953552605,5.699337262
2019/5/13,5.727646971,-1.073475373,0.539076099,4.673969601,2.985875357,1.950781977,5.727646971
2019/5/20,5.714565288,-1.065197316,0.546542663,4.688250699,2.880813592,1.959722639,5.714565288
2019/5/27,5.664657016,-1.055230596,0.534026106,4.699126322,2.851869601,1.963787827,5.664657016
2019/6/3,5.715469334,-1.053807284,0.579783597,4.662115356,2.758911892,1.93305321,5.715469334
2019/6/10,5.669083396,-1.065427493,0.536558443,4.678518379,2.641474111,1.931603144,5.669083396
2019/6/17,5.700923404,-1.085089409,0.521138084,4.645677662,2.624282096,1.936657335,5.700923404
2019/6/24,5.66323435,-1.106340157,0.526339277,4.64852589,2.624282096,1.940231795,5.66323435
2019/7/1,5.712730493,-1.121512949,0.51851394,4.651404019,2.57634135,1.928688405,5.712730493
2019/7/8,5.753436738,-1.123561372,0.480006943,4.668963349,2.575187845,1.943777076,5.753436738
2019/7/15,5.78805943,-1.112054189,0.482873584,4.688642252,2.488550717,1.921314807,5.78805943
2019/7/22,5.813414177,-1.089184009,0.471291711,4.717395862,2.53529412,1.931603144,5.813414177
2019/7/29,5.770572206,-1.057733115,0.456366033,4.873233385,2.492760389,1.959041392,5.770572206
2019/8/5,5.813018243,-1.020709998,0.450249108,4.720060025,2.571708832,1.914569805,5.813018243
2019/8/12,5.781984306,-0.98386998,0.421603927,4.708777708,2.385606274,1.935938899,5.781984306
2019/8/19,5.777019889,-0.953828734,0.414973348,4.707323154,2.336459734,1.919824945,5.777019889
2019/8/26,5.691423663,-0.935667817,0.394451681,4.672910245,2.298853076,1.952169501,5.691423663
2019/9/2,5.640063837,-0.934205607,0.411619706,4.623611052,2.372912003,1.948692345,5.640063837
2019/9/9,5.641009822,-0.952485246,0.471291711,4.572011452,2.227886705,1.908485019,5.641009822
2019/9/16,5.671625421,-0.987291721,0.447158031,4.572453363,2.214843848,1.842430921,5.671625421
2019/9/23,5.639147687,-1.034650993,0.45331834,4.557904021,2.357934847,1.850383636,5.639147687
2019/9/30,5.913671359,-1.089388245,0.5132176,4.636959046,1.73239376,1.857332496,5.913671359
