date,N-tourists,Sentiment,Baidu,WS-avg,N-tourist
2018/3/19,5.653462402,-1.343805008,4.781360382,1.052529051,5.653462402
2018/3/26,5.607179346,-1.283819217,4.705897907,0.88729572,5.607179346
2018/4/2,5.630886337,-1.247028563,4.803620969,1.057991947,5.630886337
2018/4/9,5.637573778,-1.234138112,4.805874503,0.954242509,5.637573778
2018/4/16,5.714936342,-1.230895516,4.839113363,0.987410873,5.714936342
2018/4/23,5.702758718,-1.222240559,4.80643776,0.918329954,5.702758718
2018/4/30,5.698848385,-1.194575405,4.742450174,1.02413368,5.698848385
2018/5/7,5.605517292,-1.141866553,4.760791778,1.094421213,5.605517292
2018/5/14,5.643804904,-1.079358419,4.694139948,0.980976763,5.643804904
2018/5/21,5.627915547,-1.02275067,4.687921165,0.93305321,5.627915547
2018/5/28,5.612918361,-0.981175371,4.665627889,0.961081934,5.612918361
2018/6/4,5.588183158,-0.960776009,4.790327395,1.073980052,5.588183158
2018/6/11,5.621201217,-0.962422195,4.744347756,1.035715552,5.621201217
2018/6/18,5.600132883,-0.982558286,4.660799096,0.987410873,5.600132883
2018/6/25,5.619704671,-1.0193097,4.667238087,0.947293649,5.619704671
2018/7/2,5.633744095,-1.072025197,4.699959069,1.01822482,5.633744095
2018/7/9,5.682679264,-1.139803279,4.706103021,1.146128036,5.682679264
2018/7/16,5.716441593,-1.218085258,4.780576515,1.104291967,5.716441593
2018/7/23,5.725743433,-1.296554238,4.780144424,0.961081934,5.725743433
2018/7/30,5.741153963,-1.355301129,4.791178174,0.817659792,5.741153963
2018/8/6,5.765021473,-1.368556119,4.868109321,1.104291967,5.765021473
2018/8/13,5.773648238,-1.337960689,4.889116738,0.961081934,5.773648238
2018/8/20,5.776637996,-1.286422833,4.81845684,0.853871964,5.776637996
2018/8/27,5.676451251,-1.23390225,4.840720701,1.006160309,5.676451251
2018/9/3,5.646795689,-1.193335549,4.797253688,0.895264649,5.646795689
2018/9/10,5.571366384,-1.16967069,4.936237194,1.248323645,5.571366384
2018/9/17,5.639870809,-1.161205451,4.792279599,0.947293649,5.639870809
2018/9/24,5.637495734,-1.167210266,4.774582652,0.993751051,5.637495734
2018/10/1,5.863211,-1.188459739,4.770601668,1.063386979,5.863211
2018/10/8,5.647226439,-1.225568537,4.739493231,1.068715812,5.647226439
2018/10/15,5.666787459,-1.272153754,4.757115013,1.109144469,5.666787459
2018/10/22,5.679981768,-1.31674773,4.751710104,0.974445896,5.679981768
2018/10/29,5.693173618,-1.342710992,4.741742342,1.223087822,5.693173618
2018/11/5,5.701085936,-1.332552035,4.754302457,1.02413368,5.701085936
2018/11/12,5.731807872,-1.29381889,4.785507788,1.052529051,5.731807872
2018/11/19,5.762505261,-1.250955962,4.807189891,1.099384632,5.762505261
2018/11/26,5.728413037,-1.222278559,4.787722531,1.052529051,5.728413037
2018/12/3,5.722647905,-1.222093254,4.845222106,1.079181246,5.722647905
2018/12/10,5.740350055,-1.256904981,4.821480775,1.188325715,5.740350055
2018/12/17,5.742941047,-1.31945178,4.809539514,1.035715552,5.742941047
2018/12/24,5.716912739,-1.400026979,4.871386102,1.223087822,5.716912739
2018/12/31,5.740412433,-1.479982729,4.835005304,1.109144469,5.740412433
2019/1/7,5.736649833,-1.527828194,4.803655098,0.836143197,5.736649833
2019/1/14,5.749230632,-1.531019549,4.810380395,1.041392685,5.749230632
2019/1/21,5.774533753,-1.498022649,4.793392215,1.029963223,5.774533753
2019/1/28,5.826098137,-1.444477819,4.835417863,0.974445896,5.826098137
2019/2/4,5.951225287,-1.384384052,4.926522508,1.012234456,5.951225287
2019/2/11,5.831243786,-1.321739652,4.902416308,1.012234456,5.831243786
2019/2/18,5.647579532,-1.253698374,4.884381823,1.046996563,5.647579532
2019/2/25,5.685378929,-1.179281565,4.845866681,0.954242509,5.685378929
2019/3/4,5.680037117,-1.099395418,4.872634025,1.089400411,5.680037117
2019/3/11,5.743697866,-1.02257801,4.822795522,1.029963223,5.743697866
2019/3/18,5.755041277,-0.960208744,4.82230541,0.980976763,5.755041277
2019/3/25,5.736920527,-0.918429434,4.776330641,0.993751051,5.736920527
2019/4/1,5.73285435,-0.902152999,4.767178137,1.012234456,5.73285435
2019/4/8,5.717092723,-0.914959243,4.802575341,1.063386979,5.717092723
2019/4/15,5.746939188,-0.949790719,4.847264102,1.01822482,5.746939188
2019/4/22,5.746935299,-0.99681,4.779083981,1.01822482,5.746935299
2019/4/29,5.859611979,-1.04256785,4.820116038,1.068715812,5.859611979
2019/5/6,5.699337262,-1.069159098,4.696260257,0.974445896,5.699337262
2019/5/13,5.727646971,-1.073475373,4.673969601,0.993751051,5.727646971
2019/5/20,5.714565288,-1.065197316,4.688250699,1.012234456,5.714565288
2019/5/27,5.664657016,-1.055230596,4.699126322,1.01822482,5.664657016
2019/6/3,5.715469334,-1.053807284,4.662115356,1,5.715469334
2019/6/10,5.669083396,-1.065427493,4.678518379,1.006160309,5.669083396
2019/6/17,5.700923404,-1.085089409,4.645677662,1.01822482,5.700923404
2019/6/24,5.66323435,-1.106340157,4.64852589,0.903089987,5.66323435
2019/7/1,5.712730493,-1.121512949,4.651404019,1.109144469,5.712730493
2019/7/8,5.753436738,-1.123561372,4.668963349,1.052529051,5.753436738
2019/7/15,5.78805943,-1.112054189,4.688642252,0.84509804,5.78805943
2019/7/22,5.813414177,-1.089184009,4.717395862,0.895264649,5.813414177
2019/7/29,5.770572206,-1.057733115,4.873233385,1.211806811,5.770572206
2019/8/5,5.813018243,-1.020709998,4.720060025,0.918329954,5.813018243
2019/8/12,5.781984306,-0.98386998,4.708777708,0.88729572,5.781984306
2019/8/19,5.777019889,-0.953828734,4.707323154,0.84509804,5.777019889
2019/8/26,5.691423663,-0.935667817,4.672910245,1.041392685,5.691423663
2019/9/2,5.640063837,-0.934205607,4.623611052,1.089400411,5.640063837
2019/9/9,5.641009822,-0.952485246,4.572011452,0.826999818,5.641009822
2019/9/16,5.671625421,-0.987291721,4.572453363,1.006160309,5.671625421
2019/9/23,5.639147687,-1.034650993,4.557904021,0.918329954,5.639147687
2019/9/30,5.913671359,-1.089388245,4.636959046,0.903089987,5.913671359
2019/10/7,5.611404638,-1.143953935,4.562923026,0.987410873,5.611404638
2019/10/14,5.68713551,-1.191751394,4.560086048,1.057991947,5.68713551
2019/10/21,5.674969471,-1.225851589,4.562697224,1,5.674969471
2019/10/28,5.656421166,-1.238714167,4.556230112,1.084320886,5.656421166
2019/11/4,5.674897866,-1.225012485,4.558720567,1.15490196,5.674897866
2019/11/11,5.680077036,-1.191086646,4.610532411,1,5.680077036
2019/11/18,5.688488343,-1.152660146,4.646834866,1.01822482,5.688488343
2019/11/25,5.648989038,-1.122098747,4.688722299,1.104291967,5.648989038
2019/12/2,5.641059449,-1.108754125,4.75492141,1.29791676,5.641059449
2019/12/9,5.668636542,-1.118301053,4.783875006,0.910776816,5.668636542
2019/12/16,5.648778489,-1.149340338,5.001751015,0.93305321,5.648778489
2019/12/23,5.718658604,-1.201607882,4.850719734,0.993751051,5.718658604
2019/12/30,5.739803274,-1.277285732,4.780936263,0.980976763,5.739803274
2020/1/6,5.744093397,-1.381462483,4.781819976,0.974445896,5.744093397
2020/1/13,5.80352403,-1.520483166,4.818859053,1.029963223,5.80352403
2020/1/20,5.675130081,-1.700630093,4.667938344,0.987410873,5.675130081
2020/1/27,4.896349818,-1.917988866,4.402828605,1.192328458,4.896349818
2020/2/3,4.292986667,-2.103613407,4.355987592,1.052529051,4.292986667
2020/2/10,3.961848059,-2.119172579,4.881470252,0.980976763,3.961848059
2020/2/17,4.222326211,-2.007835931,4.763562754,1.046996563,4.222326211
2020/2/24,4.236814275,-1.88802676,4.750870798,0.88729572,4.236814275
2020/3/2,4.434712581,-1.813550882,4.700660459,1.046996563,4.434712581
2020/3/9,4.476672252,-1.795514495,4.674796864,1.084320886,4.476672252
2020/3/16,4.267640982,-1.81787604,4.740520586,0.903089987,4.267640982
2020/3/23,3.990250033,-1.869992686,4.789615962,0.954242509,3.990250033
2020/3/30,3.261024834,-1.943386109,4.774261423,1.01822482,3.261024834
2020/4/6,3.2929203,-2.025928674,4.780957838,1,3.2929203
2020/4/13,3.454997217,-2.11200432,4.812853219,0.870905304,3.454997217
2020/4/20,3.441066407,-2.203082599,4.767719712,1,3.441066407
2020/4/27,3.419790586,-2.302201215,4.598243192,0.903089987,3.419790586
2020/5/4,3.466571072,-2.414417121,4.552729037,1.035715552,3.466571072
2020/5/11,3.515608949,-2.510396269,4.543347759,0.895264649,3.515608949
2020/5/18,3.561459171,-2.488230773,4.533759352,0.903089987,3.561459171
2020/5/25,3.594613509,-2.309021123,4.572650915,0.870905304,3.594613509
2020/6/1,3.648847708,-2.063520992,4.515264345,1.012234456,3.648847708
2020/6/8,3.66029616,-1.836048755,4.516773278,1.01822482,3.66029616
2020/6/15,3.710963119,-1.673885706,4.491165517,1.02413368,3.710963119
2020/6/22,3.702516697,-1.577421371,4.46167857,1.035715552,3.702516697
2020/6/29,3.748110467,-1.546546255,4.476483822,0.980976763,3.748110467
2020/7/6,3.757775491,-1.596345368,4.47364752,1.052529051,3.757775491
2020/7/13,4.128011333,-1.737937528,4.460461827,1.006160309,4.128011333
2020/7/20,4.367505009,-2.004683493,4.443935427,0.895264649,4.367505009
2020/7/27,4.435079538,-2.552400454,4.439711549,1.099384632,4.435079538
2020/8/3,4.532690695,0,4.438099127,0.836143197,4.532690695
2020/8/10,4.600133974,-2.818362751,4.478941472,0.925753972,4.600133974
2020/8/17,4.677533956,-2.162345539,4.492969805,1.012234456,4.677533956
2020/8/24,4.784132095,-1.857051411,4.483501713,0.853871964,4.784132095
2020/8/31,4.880624976,-1.683162163,4.51263104,0.826999818,4.880624976
2020/9/7,4.953484245,-1.588791756,4.535812938,0.826999818,4.953484245
2020/9/14,5.012005788,-1.544367831,4.548217386,1.046996563,5.012005788
2020/9/21,5.014982309,-1.536501249,4.573892271,1.041392685,5.014982309
2020/9/28,5.089753258,-1.56310816,4.537995295,1.006160309,5.089753258
2020/10/5,5.033443861,-1.63033679,4.550411819,1.184285738,5.033443861
2020/10/12,5.067840516,-1.739479588,4.582915199,1.275475891,5.067840516
2020/10/19,5.099580514,-1.874520784,4.516151809,1.258705681,5.099580514
2020/10/26,5.120228332,-1.980516356,4.522418149,1.052529051,5.120228332
2020/11/2,5.12303453,-1.951375505,4.526119489,1.094421213,5.12303453
2020/11/9,5.115081049,-1.795102946,4.536166896,1.123384909,5.115081049
2020/11/16,5.166065829,-1.647708903,4.578616291,0.947293649,5.166065829
2020/11/23,5.166219873,-1.558357171,4.573764819,1.094421213,5.166219873
2020/11/30,5.118912542,-1.545416755,4.578845422,1.141673694,5.118912542
2020/12/7,5.117271296,-1.628391713,4.608878888,0.974445896,5.117271296
2020/12/14,5.113615838,-1.689098382,4.644064206,1.118689787,5.113615838
2020/12/21,5.165947296,-1.5165738,4.626319833,0.993751051,5.165947296
2020/12/28,5.132826209,-1.189518553,4.576893946,1.159223334,5.132826209
2021/1/4,5.041207083,-0.873644003,4.583708742,1.146128036,5.041207083
2021/1/11,5.064727468,-0.631787009,4.555940438,1.041392685,5.064727468
2021/1/18,5.066482467,-0.467053621,4.517024258,0.903089987,5.066482467
2021/1/25,5.016180617,-0.363313077,4.466096174,0.967815317,5.016180617
2021/2/1,5.027610514,-0.313398473,4.452430494,0.93305321,5.027610514
2021/2/8,4.908806599,-0.31572994,4.385141348,1.041392685,4.908806599
2021/2/15,4.922554197,-0.356977261,4.440389506,0.925753972,4.922554197
2021/2/22,5.038850559,-0.424452348,4.519814873,0.961081934,5.038850559
2021/3/1,5.123828783,-0.501228136,4.581130106,0.967815317,5.123828783
2021/3/8,5.200645336,-0.561783442,4.562292864,1.029963223,5.200645336
2021/3/15,5.209439945,-0.594222499,4.580845177,0.895264649,5.209439945
2021/3/22,5.239489676,-0.596195984,4.581357914,1,5.239489676
2021/3/29,5.150559965,-0.571670258,4.557615461,0.980976763,5.150559965
2021/4/5,5.163790288,-0.528972431,4.594569326,1.035715552,5.163790288
2021/4/12,5.265888078,-0.480872697,4.637299559,1.012234456,5.265888078
2021/4/19,5.253781283,-0.439581012,4.607798034,1.029963223,5.253781283
2021/4/26,5.337974119,-0.413416369,4.60054819,0.967815317,5.337974119
2021/5/3,5.204095553,-0.409398276,4.584692986,0.967815317,5.204095553
2021/5/10,5.281317498,-0.424431783,4.641662462,1.073980052,5.281317498
2021/5/17,5.267364184,-0.435022824,4.625631365,1.046996563,5.267364184
2021/5/24,5.215330832,-0.414155968,4.627673032,0.961081934,5.215330832
2021/5/31,5.097541886,-0.343408267,4.630142998,0.918329954,5.097541886
2021/6/7,5.046147746,-0.231249489,4.524409105,1.052529051,5.046147746
2021/6/14,4.990147865,-0.122187453,4.502003545,1.063386979,4.990147865
2021/6/21,5.034042586,-0.042382788,4.545232872,0.903089987,5.034042586
2021/6/28,5.048744694,-0.00237678,4.534749328,1.073980052,5.048744694
2021/7/5,5.145401536,-0.012708827,4.541441945,0.987410873,5.145401536
2021/7/12,5.244306815,-0.073398339,4.59645414,0.87917783,5.244306815
2021/7/19,5.274848014,-0.175979855,4.689708333,1.02413368,5.274848014
2021/7/26,5.239309492,-0.308229304,4.620562849,0.808114474,5.239309492
2021/8/2,4.621560535,-0.428398551,4.879898324,0.910776816,4.621560535
2021/8/9,4.789411474,-0.464106466,4.649617156,0.903089987,4.789411474
2021/8/16,5.017813533,-0.416352933,4.605929636,0.836143197,5.017813533
2021/8/23,5.05969592,-0.333529948,4.604323272,0.918329954,5.05969592
2021/8/30,5.097437794,-0.254605816,4.588954833,0.918329954,5.097437794
2021/9/6,5.221403804,-0.197878973,4.610628228,0.826999818,5.221403804
2021/9/13,5.276333105,-0.161324147,4.624715143,0.853871964,5.276333105
2021/9/20,5.108818626,-0.138208961,4.924134497,0.961081934,5.108818626
2021/9/27,3.966986025,-0.124201595,4.975183569,0.836143197,3.966986025
2021/10/4,3.648164779,-0.116158516,4.872785398,1.230448921,3.648164779
2021/10/11,3.732795698,-0.112470131,4.753521778,1.261262869,3.732795698
2021/10/18,5.063746062,-0.112943408,4.660011221,1.104291967,5.063746062
2021/10/25,5.231433907,-0.117580402,4.633862172,1.02413368,5.231433907
2021/11/1,5.213055326,-0.126504892,4.635252464,0.954242509,5.213055326
2021/11/8,5.201044629,-0.139843413,4.613683291,1.192328458,5.201044629
2021/11/15,5.248201395,-0.157314102,4.559439777,1.012234456,5.248201395
2021/11/22,5.277762737,-0.178543737,4.589312765,1.150537155,5.277762737
2021/11/29,5.218328024,-0.203147029,4.614454263,1.234083206,5.218328024
2021/12/6,5.205131253,-0.230599749,4.602222821,1.029963223,5.205131253
