date,N-tourists,T_avg,Sentiment,Baidu,ILI%,N_influenza,N-tourist
2018/6/11,5.621201217,1.436162647,-0.962422195,4.744347756,0.521138084,1.707570176,5.621201217
2018/6/18,5.600132883,1.444936571,-0.982558286,4.660799096,0.51054501,1.672097858,5.600132883
2018/6/25,5.619704671,1.45331834,-1.0193097,4.667238087,0.488550717,1.579783597,5.619704671
2018/7/2,5.633744095,1.457232889,-1.072025197,4.699959069,0.462397998,1.653212514,5.633744095
2018/7/9,5.682679264,1.438203189,-1.139803279,4.706103021,0.462397998,1.462397998,5.682679264
2018/7/16,5.716441593,1.444267912,-1.218085258,4.780576515,0.428134794,1.556302501,5.716441593
2018/7/23,5.725743433,1.45200561,-1.296554238,4.780144424,0.428134794,1.531478917,5.725743433
2018/7/30,5.741153963,1.462184007,-1.355301129,4.791178174,0.421603927,1.477121255,5.741153963
2018/8/6,5.765021473,1.45046906,-1.368556119,4.868109321,0.401400541,1.342422681,5.765021473
2018/8/13,5.773648238,1.434568904,-1.337960689,4.889116738,0.401400541,1.342422681,5.773648238
2018/8/20,5.776637996,1.454409259,-1.286422833,4.81845684,0.380211242,1.342422681,5.776637996
2018/8/27,5.676451251,1.422073688,-1.23390225,4.840720701,0.372912003,1.342422681,5.676451251
2018/9/3,5.646795689,1.448485473,-1.193335549,4.797253688,0.390935107,1.51851394,5.646795689
2018/9/10,5.571366384,1.443374761,-1.16967069,4.936237194,0.390935107,1.462397998,5.571366384
2018/9/17,5.639870809,1.44270369,-1.161205451,4.792279599,0.411619706,1.491361694,5.639870809
2018/9/24,5.637495734,1.420427295,-1.167210266,4.774582652,0.404833717,1.770852012,5.637495734
2018/10/1,5.863211,1.414495839,-1.188459739,4.770601668,0.45331834,1.477121255,5.863211
2018/10/8,5.647226439,1.38175953,-1.225568537,4.739493231,0.369215857,1.556302501,5.647226439
2018/10/15,5.666787459,1.36522048,-1.272153754,4.757115013,0.383815366,1.591064607,5.666787459
2018/10/22,5.679981768,1.384071663,-1.31674773,4.751710104,0.394451681,1.86332286,5.679981768
2018/10/29,5.693173618,1.352733653,-1.342710992,4.741742342,0.404833717,1.903089987,5.693173618
2018/11/5,5.701085936,1.374748346,-1.332552035,4.754302457,0.408239965,2.120573931,5.701085936
2018/11/12,5.731807872,1.363074487,-1.29381889,4.785507788,0.424881637,2.267171728,5.731807872
2018/11/19,5.762505261,1.311753861,-1.250955962,4.807189891,0.456366033,2.404833717,5.762505261
2018/11/26,5.728413037,1.309630167,-1.222278559,4.787722531,0.494154594,2.618048097,5.728413037
2018/12/3,5.722647905,1.29791676,-1.222093254,4.845222106,0.5132176,2.704150517,5.722647905
2018/12/10,5.740350055,1.153597118,-1.256904981,4.821480775,0.539076099,2.85308953,5.740350055
2018/12/17,5.742941047,1.285557309,-1.31945178,4.809539514,0.568201724,3.114610984,5.742941047
2018/12/24,5.716912739,1.206825876,-1.400026979,4.871386102,0.612783857,3.356408327,5.716912739
2018/12/31,5.740412433,1.128952863,-1.479982729,4.835005304,0.698970004,3.311329952,5.740412433
2019/1/7,5.736649833,1.253199496,-1.527828194,4.803655098,0.733999287,3.536684673,5.736649833
2019/1/14,5.749230632,1.230448921,-1.531019549,4.810380395,0.755874856,3.600537294,5.749230632
2019/1/21,5.774533753,1.206825876,-1.498022649,4.793392215,0.722633923,3.603577368,5.774533753
2019/1/28,5.826098137,1.270179551,-1.444477819,4.835417863,0.69019608,3.690284703,5.826098137
2019/2/4,5.951225287,1.306884355,-1.384384052,4.926522508,0.816903839,2.92992956,5.951225287
2019/2/11,5.831243786,1.280708418,-1.321739652,4.902416308,0.575187845,3.394451681,5.831243786
2019/2/18,5.647579532,1.262789985,-1.253698374,4.884381823,0.544068044,3.401745082,5.647579532
